author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/307493015/;Москва;rent;flat;2;8;2;59.7;495000;0;Замоскворечье; Малая Ордынка;19;Третьяковская
Кирилл Пугачев;realtor;https://www.cian.ru/rent/flat/308852148/;Москва;rent;flat;11;30;1;22.0;75000;0;Южнопортовый;Волгоградский проспект;32/3к3;Угрешская
CROCUS ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/309666692/;Москва;rent;flat;24;24;2;72.0;200000;0;Хорошевский;Хорошевское шоссе;25Ак2;Полежаевская
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/rent/flat/308678409/;Москва;rent;flat;9;40;1;42.0;150000;0;Хорошевский;Ленинградский проспект;37/6;Аэропорт
СТОЛИЦА Департамент недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/307046864/;Москва;rent;flat;11;16;2;50.0;60000;0;Гольяново;Камчатская ;3;Гольяново
BARNES International Realty;real_estate_agent;https://www.cian.ru/rent/flat/308151734/;Москва;rent;flat;6;6;2;100.0;520000;0;Пресненский;Спиридоньевский переулок;10А;Пушкинская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/309566213/;Москва;rent;flat;6;30;1;51.0;100000;0;Южнопортовый; 1-я Машиностроения;10;Дубровка
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/301618457/;Москва;rent;flat;17;32;1;25.0;55000;0;Нижегородский;Газгольдерная ;10;Нижегородская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/308411911/;Москва;rent;flat;3;7;2;83.0;270000;0;Можайский;Верейская ;29С151;Давыдково
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/309523744/;Москва;rent;flat;6;30;1;53.0;100000;0;Южнопортовый; 1-я Машиностроения;10;Дубровка
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/285725819/;Москва;rent;flat;12;12;1;38.0;65000;0;Дорогомилово;площадь Победы;2К1;Парк Победы
ID 12676175;unknown;https://www.cian.ru/rent/flat/309433491/;Москва;rent;flat;5;8;1;49.0;100000;0;Басманный; Земляной Вал;39/1С1;Чкаловская
ID 93921447;unknown;https://www.cian.ru/rent/flat/309685184/;Москва;rent;flat;8;21;1;45.0;100000;0;Свиблово;Лазоревый проезд;5к4;Ботанический сад
InHome24;real_estate_agent;https://www.cian.ru/rent/flat/305789437/;Москва;rent;flat;4;6;-1;22.0;48990;0;Западное Дегунино;Дмитровское шоссе;81;Селигерская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/309427138/;Москва;rent;flat;9;9;2;48.0;110000;0;Тверской; Бутырский Вал;28;Белорусская
Иван Музалевский;realtor;https://www.cian.ru/rent/flat/309449297/;Москва;rent;flat;4;14;2;58.6;120000;0;Таганский;переулок Ковров;4к2;Площадь Ильича
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/309615616/;Москва;rent;flat;14;17;1;24.0;52000;0;;проспект Прокшинский;12;Прокшино
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/309539281/;Москва;rent;flat;5;9;2;42.0;107000;0;Басманный;Старая Басманная ;9к2;Красные ворота
